timestamp,x,y,z,roll,pitch,yaw
00.018,-0.0018790215,-0.0008338311,0.0008057312,-0.0,0.0,0.0
00.039,0.002397035,-0.0008338311,0.0014165966,-1.6264094e-07,-4.6754775e-07,-2.763108e-07
00.078,0.00056443946,-0.00022296583,0.0008057312,-0.0,-0.0,-0.0
00.118,-4.642576e-05,0.00038789943,-0.00041599924,1.4855673e-08,1.7780021e-09,1.5931834e-08
00.138,0.0011753048,-0.0008338311,-0.00041599924,-0.0,-0.0,0.0
00.177,-0.0024898867,-0.0020555616,0.0008057312,-4.5905426e-07,5.560492e-07,-1.7993824e-07
00.218,-0.0024898867,-0.0008338311,-0.00041599924,-0.0,-0.0,0.0
00.238,-0.0018790215,-0.00022296583,0.00019486602,-2.8462756e-08,2.3986695e-07,-2.4875668e-08
00.279,-4.642576e-05,-0.00022296583,0.00019486602,-0.0,0.0,0.0
00.318,0.00056443946,-0.0008338311,0.0014165966,-9.7253555e-08,-6.5833156e-08,-1.6522417e-07
00.338,-4.642576e-05,0.0009987646,0.00019486602,0.0,-0.0,-0.0
00.379,-0.000657291,-0.0020555616,-0.0010268645,-3.2968373e-07,1.05420376e-07,1.6469491e-07
00.417,-0.0018790215,0.00038789943,-0.00041599924,-0.0,0.0,0.0
00.458,0.00056443946,-0.00022296583,0.00019486602,-0.0,-0.0,-0.0
00.478,-4.642576e-05,-0.00022296583,-0.0010268645,-0.0,-0.0,0.0
00.517,-0.000657291,0.00038789943,0.00019486602,2.0504986e-08,3.4745455e-08,-1.0300931e-08
00.538,0.00056443946,0.00038789943,0.00019486602,-0.0,-0.0,0.0
00.579,-0.0012681563,-0.00022296583,-0.00041599924,-2.0247024e-08,1.1515841e-07,3.7775948e-08
00.618,0.0036187659,0.0009987646,0.00019486602,-0.0,-0.0,0.0
00.658,-4.642576e-05,0.0009987646,-0.00041599924,7.258455e-08,3.373962e-09,3.0232464e-08
00.678,-0.000657291,0.0009987646,0.00019486602,0.0,-0.0,-0.0
00.718,0.00056443946,-0.0008338311,-0.00041599924,-6.0963366e-08,-4.126751e-08,3.0414693e-08
00.758,-4.642576e-05,0.0016096298,-0.0010268645,-0.0,0.0,0.0
00.779,0.00056443946,0.00038789943,0.0008057312,2.7527735e-08,-4.0056104e-08,-5.717966e-08
00.819,0.002397035,0.0016096298,-0.00041599924,0.0,-0.0,0.0
00.858,0.00056443946,-0.0008338311,0.0008057312,-7.2162756e-08,-4.8848626e-08,-6.9730895e-08
00.879,0.0017861701,0.0009987646,0.00019486602,-0.0,-0.0,0.0
00.919,-0.000657291,0.00038789943,0.00019486602,2.0504986e-08,3.4745455e-08,-1.0300931e-08
00.959,-0.0018790215,0.00038789943,-0.00041599924,-0.0,0.0,0.0
00.977,-4.642576e-05,-0.00022296583,0.00019486602,-4.4849497e-09,9.338526e-10,-3.919723e-09
