timestamp,x,y,z
00.012,0.71588814,9.299363,2.6624336
00.030,1.1229149,9.75667,2.6815877
00.071,0.7996878,9.3831625,2.7845416
00.097,1.1899546,9.404712,2.5307484
00.131,0.9577099,9.433443,2.4110348
00.170,0.8834874,9.457385,2.4541316
00.211,0.6847626,9.474146,2.1883671
00.237,0.6081458,9.507666,2.3152637
00.271,0.68236834,9.636956,2.47568
00.311,0.6368771,9.495694,2.638491
00.338,0.6847626,9.450203,2.743839
00.370,0.7326481,9.419077,2.6720107
00.411,0.6656084,9.347249,2.4708917
00.438,0.7996878,9.356826,2.569057
00.471,0.7733508,9.361614,2.6193366
00.511,0.87630457,9.397529,2.7151077
00.536,0.68236834,9.404712,2.6265194
00.572,0.56744313,9.37598,2.5618742
00.610,0.55307746,9.498088,2.832427
00.636,0.42378664,9.433443,2.901861
00.672,0.43096948,9.419077,2.7342618
00.711,0.50758624,9.399923,2.8372157
00.737,0.61293435,9.4142885,2.5642684
00.773,0.6177229,9.421472,2.6504622
00.811,0.6153286,9.380769,2.770176
00.837,0.6057515,9.390346,2.6959534
00.871,0.54828894,9.395134,2.6935592
00.912,0.5411061,9.395134,2.727079
00.937,0.63208854,9.421472,2.648068
00.972,0.7206767,9.407105,2.648068
01.011,0.7206767,9.423865,2.4613144
01.038,0.70870537,9.440625,2.4182177
01.077,0.59378016,9.510059,2.4541316
01.112,0.5889916,9.45978,2.456526
01.152,0.51716334,9.37598,2.6456738
01.179,0.45730647,9.378374,2.8635526
01.212,0.31604427,9.244295,2.9760835
01.243,0.35674694,9.265843,2.9928436
01.272,0.40463245,9.371192,3.050306
01.313,0.53392327,9.419077,3.1604428
01.351,0.21069619,9.325701,3.1053743
01.377,0.12929083,9.277815,3.2274826
01.411,0.32801566,9.196409,3.3232534
01.451,0.69673395,9.217958,3.3663504
01.479,0.87630457,9.2490835,3.3687446
01.511,0.95531565,9.198804,3.354379
01.551,0.98404694,9.134158,2.9641123
01.578,1.0391153,9.160496,2.7246847
01.613,1.1013664,9.332883,2.5475085
01.651,1.1468576,9.4095,2.6791935
01.679,0.89545876,9.371192,2.7486274
01.711,0.45730647,9.268238,2.9329867
01.751,0.33519846,9.37598,2.8731298
01.779,0.29928434,9.466963,2.9617178
01.817,0.1987248,9.387952,3.0694604
01.853,0.30886146,9.284998,3.059883
01.883,0.4285752,9.287392,3.067066
01.911,0.62251145,9.301758,3.0096035
01.951,0.88588166,9.306546,2.9329867
01.990,0.9385557,9.268238,2.928198
02.018,0.89545876,9.270632,2.9401696
02.051,0.7709565,9.273026,2.8994668
02.089,0.6703969,9.320911,2.875524
02.112,0.5794145,9.349643,2.7773588
02.153,0.45491222,9.397529,2.928198
02.191,0.47885495,9.387952,3.047912
02.213,0.50998056,9.3592205,3.031152
02.252,0.55307746,9.244295,3.083826
02.292,0.5889916,9.318518,2.988055
02.318,0.6105401,9.325701,2.9090438
02.351,0.7398309,9.335278,2.935381
02.391,0.7541966,9.311335,2.9090438
02.419,0.72785956,9.261055,2.9473522
02.450,0.7781393,9.273026,3.0287576
02.490,0.72785956,9.301758,2.944958
02.517,0.6392714,9.318518,2.988055
02.552,0.5554718,9.294575,3.0455174
02.591,0.46927786,9.364009,2.9928436
02.617,0.50040346,9.373586,2.9808722
02.652,0.63208854,9.306546,2.978478
02.691,0.69912827,9.277815,2.9569294
02.719,0.63208854,9.320911,3.0024207
02.763,0.50998056,9.366403,2.9952378
