timestamp,hr
00.000,74.22
01.000,74.13
02.000,74.05
03.000,73.97
04.000,73.92
05.000,73.88
06.000,73.85
07.000,73.82
08.000,73.78
09.000,73.72
10.000,73.65
11.000,73.62
12.000,73.57
13.000,73.48
14.000,73.4
15.000,73.33
16.000,73.22
17.000,73.1
18.000,72.93
19.000,72.77
20.000,72.62
21.000,72.47
22.000,72.32
23.000,72.13
24.000,71.95
25.000,71.78
26.000,71.58
27.000,71.35
28.000,71.13
29.000,70.83
30.000,70.48
31.000,70.12
32.000,69.78
33.000,69.47
34.000,69.17
35.000,69.03
36.000,68.85
37.000,68.7
38.000,68.57
39.000,68.5
40.000,68.45
41.000,68.42
42.000,68.43
43.000,68.52
44.000,68.57
45.000,68.62
46.000,68.67
47.000,68.73
48.000,68.78
49.000,68.82
50.000,68.85
51.000,68.87
52.000,68.88
53.000,68.92
54.000,68.92
55.000,68.92
56.000,68.88
57.000,68.85
58.000,68.82
59.000,68.8
