timestamp,hr
00.000,106.62
01.000,106.35
02.000,106.18
03.000,106.03
04.000,105.88
05.000,105.63
06.000,105.45
07.000,105.25
08.000,105.05
09.000,104.82
10.000,104.72
11.000,104.57
12.000,104.43
13.000,104.3
14.000,104.15
15.000,103.98
16.000,103.85
17.000,103.72
18.000,103.63
19.000,103.52
20.000,103.43
21.000,103.33
22.000,103.23
23.000,103.12
24.000,103.13
25.000,103.33
26.000,103.48
27.000,103.57
28.000,103.68
29.000,103.83
30.000,103.98
31.000,104.18
32.000,104.37
33.000,104.55
34.000,104.68
35.000,104.8
36.000,104.87
37.000,104.93
38.000,104.97
39.000,104.93
40.000,104.92
41.000,104.9
42.000,104.92
43.000,104.95
44.000,105.03
45.000,105.3
46.000,105.33
47.000,105.42
48.000,105.5
49.000,105.68
50.000,105.85
51.000,105.95
52.000,106.05
53.000,106.13
54.000,106.18
55.000,106.17
56.000,106.13
57.000,106.13
58.000,106.18
59.000,106.23
