timestamp,hr
00.000,79.93
01.000,80.1
02.000,80.27
03.000,80.42
04.000,80.57
05.000,80.72
06.000,80.72
07.000,80.68
08.000,80.65
09.000,80.57
10.000,80.45
11.000,80.23
12.000,80.07
13.000,79.88
14.000,79.65
15.000,79.45
16.000,79.3
17.000,79.2
18.000,79.08
19.000,79.22
20.000,79.4
21.000,79.58
22.000,79.7
23.000,79.77
24.000,79.82
25.000,79.88
26.000,79.97
27.000,80.05
28.000,80.13
29.000,80.25
30.000,80.32
31.000,80.38
32.000,80.47
33.000,80.55
34.000,80.9
35.000,81.32
36.000,81.93
37.000,81.95
38.000,82.03
39.000,82.13
40.000,82.23
41.000,82.32
42.000,82.35
43.000,82.33
44.000,82.37
45.000,82.35
46.000,82.27
47.000,82.2
48.000,81.97
49.000,81.8
50.000,81.63
51.000,81.52
52.000,81.37
53.000,81.18
54.000,80.95
55.000,80.65
56.000,80.37
57.000,80.1
58.000,79.8
59.000,79.47
