timestamp,hr
00.000,72.53
01.000,72.58
02.000,72.65
03.000,72.73
04.000,72.85
05.000,73.07
06.000,73.22
07.000,73.35
08.000,73.48
09.000,73.63
10.000,73.75
11.000,73.87
12.000,74.03
13.000,74.12
14.000,74.02
15.000,74.27
16.000,74.47
17.000,74.63
18.000,74.8
19.000,74.88
20.000,75.03
21.000,75.18
22.000,75.33
23.000,75.55
24.000,75.77
25.000,76.0
26.000,76.27
27.000,76.52
28.000,76.8
29.000,77.05
30.000,77.3
31.000,77.53
32.000,77.77
33.000,78.02
34.000,78.27
35.000,78.52
36.000,78.85
37.000,79.18
38.000,79.5
39.000,79.83
40.000,80.18
41.000,80.55
42.000,81.05
43.000,81.65
44.000,82.27
45.000,82.9
46.000,83.55
47.000,84.2
48.000,84.87
49.000,85.57
50.000,86.3
51.000,87.03
52.000,87.75
53.000,88.45
54.000,89.15
55.000,89.9
56.000,90.62
57.000,91.3
58.000,91.95
59.000,92.6
