ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity
1599422400.0,sleep,111,,,ALONE,,,home,4,3,3
1599422460.0,sleep,111,,,ALONE,,,home,4,3,3
1599422520.0,sleep,111,,,ALONE,,,home,4,3,3
1599422580.0,sleep,111,,,ALONE,,,home,4,3,3
1599422640.0,sleep,111,,,ALONE,,,home,4,3,3
1599422700.0,sleep,111,,,ALONE,,,home,4,3,3
1599422760.0,sleep,111,,,ALONE,,,home,4,3,3
1599422820.0,sleep,111,,,ALONE,,,home,4,3,3
1599422880.0,sleep,111,,,ALONE,,,home,4,3,3
1599422940.0,sleep,111,,,ALONE,,,home,4,3,3
1599423000.0,sleep,111,,,ALONE,,,home,4,3,3
1599423060.0,sleep,111,,,ALONE,,,home,4,3,3
1599423120.0,sleep,111,,,ALONE,,,home,4,3,3
1599423180.0,sleep,111,,,ALONE,,,home,4,3,3
1599423240.0,sleep,111,,,ALONE,,,home,4,3,3
1599423300.0,sleep,111,,,ALONE,,,home,4,3,3
1599423360.0,sleep,111,,,ALONE,,,home,4,3,3
1599423420.0,sleep,111,,,ALONE,,,home,4,3,3
1599423480.0,sleep,111,,,ALONE,,,home,4,3,3
1599423540.0,sleep,111,,,ALONE,,,home,4,3,3
1599423600.0,sleep,111,,,ALONE,,,home,4,3,3
1599423660.0,sleep,111,,,ALONE,,,home,4,3,3
1599423720.0,sleep,111,,,ALONE,,,home,4,3,3
1599423780.0,sleep,111,,,ALONE,,,home,4,3,3
1599423840.0,sleep,111,,,ALONE,,,home,4,3,3
1599423900.0,sleep,111,,,ALONE,,,home,4,3,3
1599423960.0,sleep,111,,,ALONE,,,home,4,3,3
1599424020.0,sleep,111,,,ALONE,,,home,4,3,3
1599424080.0,sleep,111,,,ALONE,,,home,4,3,3
1599424140.0,sleep,111,,,ALONE,,,home,4,3,3
1599424200.0,sleep,111,,,ALONE,,,home,4,3,3
1599424260.0,sleep,111,,,ALONE,,,home,4,3,3
1599424320.0,sleep,111,,,ALONE,,,home,4,3,3
1599424380.0,sleep,111,,,ALONE,,,home,4,3,3
1599424440.0,sleep,111,,,ALONE,,,home,4,3,3
1599424500.0,sleep,111,,,ALONE,,,home,4,3,3
1599424560.0,sleep,111,,,ALONE,,,home,4,3,3
1599424620.0,sleep,111,,,ALONE,,,home,4,3,3
1599424680.0,sleep,111,,,ALONE,,,home,4,3,3
1599424740.0,sleep,111,,,ALONE,,,home,4,3,3
1599424800.0,sleep,111,,,ALONE,,,home,4,3,3
1599424860.0,sleep,111,,,ALONE,,,home,4,3,3
1599425760.0,sleep,111,,,ALONE,,,home,4,3,3
1599434580.0,sleep,111,,,ALONE,,,home,4,3,3
1599435300.0,sleep,111,,,ALONE,,,home,4,3,3
1599436500.0,sleep,111,,,ALONE,,,home,4,3,3
1599437940.0,sleep,111,,,ALONE,,,home,4,3,3
