timestamp,hr
00.000,64.33
01.000,64.3
02.000,64.27
03.000,64.23
04.000,64.2
05.000,64.17
06.000,64.15
07.000,64.15
08.000,64.15
09.000,64.15
10.000,64.15
11.000,64.15
12.000,64.17
13.000,64.2
14.000,64.25
15.000,64.33
16.000,64.43
17.000,64.55
18.000,64.68
19.000,64.85
20.000,65.05
21.000,65.03
22.000,65.02
23.000,64.98
24.000,64.93
25.000,64.87
26.000,64.82
27.000,64.78
28.000,64.77
29.000,64.8
30.000,64.85
31.000,64.92
32.000,64.97
33.000,65.02
34.000,65.07
35.000,65.12
36.000,65.18
37.000,65.25
38.000,65.32
39.000,65.4
40.000,65.48
41.000,65.6
42.000,65.72
43.000,65.83
44.000,65.95
45.000,66.07
46.000,66.17
47.000,66.25
48.000,66.33
49.000,66.42
50.000,66.5
51.000,66.58
52.000,66.65
53.000,66.73
54.000,66.82
55.000,66.9
56.000,66.98
57.000,67.07
58.000,67.15
59.000,67.23
