timestamp,hr
00.000,75.22
01.000,75.75
02.000,76.25
03.000,76.8
04.000,77.3
05.000,77.8
06.000,78.28
07.000,78.78
08.000,79.22
09.000,79.62
10.000,80.08
11.000,80.55
12.000,81.08
13.000,81.58
14.000,82.03
15.000,82.4
16.000,83.07
17.000,83.7
18.000,84.27
19.000,84.83
20.000,85.33
21.000,85.85
22.000,86.4
23.000,86.95
24.000,87.55
25.000,88.23
26.000,88.88
27.000,89.6
28.000,90.3
29.000,90.98
30.000,91.65
31.000,92.3
32.000,92.95
33.000,93.6
34.000,94.23
35.000,94.88
36.000,95.53
37.000,96.2
38.000,96.78
39.000,97.35
40.000,97.92
41.000,98.55
42.000,99.18
43.000,99.73
44.000,100.3
45.000,100.9
46.000,101.43
47.000,101.92
48.000,102.45
49.000,102.52
50.000,102.25
51.000,102.03
52.000,101.85
53.000,101.7
54.000,101.55
55.000,101.38
56.000,101.35
57.000,100.62
58.000,100.05
59.000,99.42
