timestamp,hr
00.000,69.02
01.000,69.33
02.000,69.62
03.000,69.87
04.000,70.07
05.000,70.22
06.000,70.37
07.000,70.38
08.000,70.35
09.000,70.32
10.000,70.27
11.000,70.22
12.000,70.2
13.000,70.18
14.000,70.18
15.000,70.18
16.000,70.22
17.000,70.23
18.000,70.27
19.000,70.32
20.000,70.23
21.000,70.15
22.000,70.1
23.000,70.05
24.000,70.02
25.000,70.0
26.000,69.77
27.000,69.58
28.000,69.43
29.000,69.28
30.000,69.13
31.000,68.98
32.000,68.8
33.000,68.63
34.000,68.6
35.000,68.5
36.000,68.42
37.000,68.4
38.000,68.38
39.000,68.35
40.000,68.3
41.000,68.22
42.000,68.08
43.000,67.9
44.000,67.68
45.000,67.48
46.000,67.27
47.000,67.08
48.000,66.92
49.000,66.8
50.000,66.73
51.000,66.68
52.000,66.67
53.000,66.68
54.000,66.68
55.000,66.68
56.000,66.72
57.000,66.73
58.000,66.75
59.000,66.75
