timestamp,hr
00.000,66.38
01.000,66.25
02.000,66.13
03.000,66.03
04.000,65.92
05.000,65.82
06.000,65.73
07.000,65.67
08.000,65.62
09.000,65.87
10.000,66.12
11.000,66.37
12.000,66.53
13.000,66.82
14.000,67.2
15.000,67.57
16.000,67.88
17.000,68.17
18.000,68.52
19.000,68.85
20.000,69.08
21.000,69.08
22.000,69.1
23.000,69.12
24.000,69.13
25.000,69.15
26.000,69.15
27.000,69.17
28.000,69.15
29.000,69.12
30.000,69.07
31.000,68.95
32.000,68.82
33.000,68.7
34.000,68.58
35.000,68.48
36.000,68.43
37.000,68.4
38.000,68.42
39.000,68.45
40.000,68.45
41.000,68.47
42.000,68.48
43.000,68.5
44.000,68.5
45.000,68.53
46.000,68.58
47.000,68.63
48.000,68.68
49.000,68.77
50.000,68.85
51.000,68.92
52.000,69.0
53.000,69.03
54.000,69.07
55.000,69.12
56.000,69.18
57.000,69.25
58.000,69.33
59.000,69.42
