timestamp,hr
00.000,107.88
01.000,107.68
02.000,107.48
03.000,107.25
04.000,107.02
05.000,106.75
06.000,106.47
07.000,106.17
08.000,105.73
09.000,105.35
10.000,104.87
11.000,104.45
12.000,104.07
13.000,103.77
14.000,103.55
15.000,103.33
16.000,103.05
17.000,102.78
18.000,102.48
19.000,102.17
20.000,101.77
21.000,101.42
22.000,101.08
23.000,100.68
24.000,100.32
25.000,99.95
26.000,99.5
27.000,99.02
28.000,98.5
29.000,97.97
30.000,97.42
31.000,96.9
32.000,96.2
33.000,95.53
34.000,94.9
35.000,94.25
36.000,93.58
37.000,92.95
38.000,92.33
39.000,91.72
40.000,91.17
41.000,90.63
42.000,90.08
43.000,89.55
44.000,89.05
45.000,88.53
46.000,88.02
47.000,87.5
48.000,87.07
49.000,86.62
50.000,86.15
51.000,85.65
52.000,85.13
53.000,84.58
54.000,84.02
55.000,83.45
56.000,82.92
57.000,82.47
58.000,82.07
59.000,81.67
