timestamp,hr
00.000,78.45
01.000,78.35
02.000,78.28
03.000,78.13
04.000,77.5
05.000,76.88
06.000,76.23
07.000,75.83
08.000,75.43
09.000,75.1
10.000,74.8
11.000,74.53
12.000,74.27
13.000,74.05
14.000,73.85
15.000,73.68
16.000,73.62
17.000,73.52
18.000,73.43
19.000,73.33
20.000,73.22
21.000,73.12
22.000,73.02
23.000,72.95
24.000,72.83
25.000,72.65
26.000,72.52
27.000,72.4
28.000,72.33
29.000,72.25
30.000,72.2
31.000,72.2
32.000,72.18
33.000,72.17
34.000,72.12
35.000,72.03
36.000,72.0
37.000,71.95
38.000,72.03
39.000,72.23
40.000,72.37
41.000,72.47
42.000,72.58
43.000,72.7
44.000,72.83
45.000,72.82
46.000,72.93
47.000,73.02
48.000,73.08
49.000,73.13
50.000,73.27
51.000,73.43
52.000,73.62
53.000,73.95
54.000,74.15
55.000,74.28
56.000,74.45
57.000,74.65
58.000,74.85
59.000,75.07
