timestamp,temp
00.000,33.55
00.250,33.55
00.500,33.55
00.750,33.55
01.000,33.55
01.250,33.55
01.500,33.55
01.750,33.55
02.000,33.55
02.250,33.55
02.500,33.55
02.750,33.55
03.000,33.57
03.250,33.57
03.500,33.57
03.750,33.57
04.000,33.57
04.250,33.57
04.500,33.57
04.750,33.57
05.000,33.55
05.250,33.55
05.500,33.55
05.750,33.55
06.000,33.57
06.250,33.57
06.500,33.57
06.750,33.57
07.000,33.57
07.250,33.57
07.500,33.57
07.750,33.57
08.000,33.57
08.250,33.57
08.500,33.57
08.750,33.57
09.000,33.57
09.250,33.57
09.500,33.57
09.750,33.57
10.000,33.55
10.250,33.55
10.500,33.55
10.750,33.55
11.000,33.57
11.250,33.57
11.500,33.57
11.750,33.57
12.000,33.57
12.250,33.57
12.500,33.57
12.750,33.57
13.000,33.57
13.250,33.57
13.500,33.57
13.750,33.57
14.000,33.57
14.250,33.57
14.500,33.57
14.750,33.57
15.000,33.55
15.250,33.55
15.500,33.55
15.750,33.55
16.000,33.55
16.250,33.55
16.500,33.55
16.750,33.55
17.000,33.55
17.250,33.55
17.500,33.55
17.750,33.55
18.000,33.49
18.250,33.49
18.500,33.49
18.750,33.49
19.000,33.53
19.250,33.53
19.500,33.53
19.750,33.53
20.000,33.55
20.250,33.55
20.500,33.55
20.750,33.55
21.000,33.55
21.250,33.55
21.500,33.55
21.750,33.55
22.000,33.55
22.250,33.55
22.500,33.55
22.750,33.55
23.000,33.55
23.250,33.55
23.500,33.55
23.750,33.55
24.000,33.55
24.250,33.55
24.500,33.55
24.750,33.55
25.000,33.55
25.250,33.55
25.500,33.55
25.750,33.55
26.000,33.53
26.250,33.53
26.500,33.53
26.750,33.53
27.000,33.55
27.250,33.55
27.500,33.55
27.750,33.55
28.000,33.55
28.250,33.55
28.500,33.55
28.750,33.55
29.000,33.57
29.250,33.57
29.500,33.57
29.750,33.57
30.000,33.55
30.250,33.55
30.500,33.55
30.750,33.55
31.000,33.53
31.250,33.53
31.500,33.53
31.750,33.53
32.000,33.53
32.250,33.53
32.500,33.53
32.750,33.53
33.000,33.53
33.250,33.53
33.500,33.53
33.750,33.53
34.000,33.55
34.250,33.55
34.500,33.55
34.750,33.55
35.000,33.55
35.250,33.55
35.500,33.55
35.750,33.55
36.000,33.5
36.250,33.5
36.500,33.5
36.750,33.5
37.000,33.47
37.250,33.47
37.500,33.47
37.750,33.47
38.000,33.47
38.250,33.47
38.500,33.47
38.750,33.47
39.000,33.47
39.250,33.47
39.500,33.47
39.750,33.47
40.000,33.47
40.250,33.47
40.500,33.47
40.750,33.47
41.000,33.47
41.250,33.47
41.500,33.47
41.750,33.47
42.000,33.45
42.250,33.45
42.500,33.45
42.750,33.45
43.000,33.45
43.250,33.45
43.500,33.45
43.750,33.45
44.000,33.45
44.250,33.45
44.500,33.45
44.750,33.45
45.000,33.41
45.250,33.41
45.500,33.41
45.750,33.41
46.000,33.43
46.250,33.43
46.500,33.43
46.750,33.43
47.000,33.43
47.250,33.43
47.500,33.43
47.750,33.43
48.000,33.39
48.250,33.39
48.500,33.39
48.750,33.39
49.000,33.45
49.250,33.45
49.500,33.45
49.750,33.45
50.000,33.39
50.250,33.39
50.500,33.39
50.750,33.39
51.000,33.41
51.250,33.41
51.500,33.41
51.750,33.41
52.000,33.39
52.250,33.39
52.500,33.39
52.750,33.39
53.000,33.37
53.250,33.37
53.500,33.37
53.750,33.37
54.000,33.37
54.250,33.37
54.500,33.37
54.750,33.37
55.000,33.37
55.250,33.37
55.500,33.37
55.750,33.37
56.000,33.45
56.250,33.45
56.500,33.45
56.750,33.45
57.000,33.47
57.250,33.47
57.500,33.47
57.750,33.47
58.000,33.47
58.250,33.47
58.500,33.47
58.750,33.47
59.000,33.49
59.250,33.49
59.500,33.49
59.750,33.49
