timestamp,hr
00.000,81.22
01.000,81.05
02.000,80.88
03.000,80.7
04.000,80.57
05.000,80.57
06.000,80.55
07.000,80.38
08.000,80.23
09.000,80.13
10.000,80.08
11.000,80.03
12.000,79.98
13.000,79.88
14.000,79.73
15.000,79.57
16.000,79.38
17.000,79.18
18.000,78.97
19.000,78.73
20.000,78.42
21.000,78.12
22.000,77.87
23.000,77.65
24.000,77.43
25.000,77.32
26.000,77.15
27.000,76.95
28.000,76.72
29.000,76.47
30.000,76.15
31.000,75.88
32.000,75.6
33.000,75.37
34.000,75.13
35.000,74.97
36.000,74.8
37.000,74.5
38.000,74.22
39.000,73.98
40.000,73.83
41.000,73.68
42.000,73.53
43.000,73.4
44.000,73.18
45.000,73.03
46.000,72.92
47.000,72.93
48.000,72.97
49.000,73.02
50.000,73.08
51.000,73.12
52.000,73.12
53.000,73.2
54.000,73.23
55.000,73.23
56.000,73.22
57.000,73.18
58.000,73.17
59.000,73.17
