timestamp,hr
00.000,106.48
01.000,106.08
02.000,105.9
03.000,105.73
04.000,105.55
05.000,105.3
06.000,104.87
07.000,104.05
08.000,103.17
09.000,102.27
10.000,101.38
11.000,100.5
12.000,99.58
13.000,98.67
14.000,97.72
15.000,96.75
16.000,95.75
17.000,94.72
18.000,93.68
19.000,92.63
20.000,91.57
21.000,90.52
22.000,89.5
23.000,88.52
24.000,87.52
25.000,86.52
26.000,85.52
27.000,84.55
28.000,83.58
29.000,82.62
30.000,81.65
31.000,80.68
32.000,80.18
33.000,79.72
34.000,79.57
35.000,79.45
36.000,79.32
37.000,79.17
38.000,79.0
39.000,78.93
40.000,78.9
41.000,78.87
42.000,78.9
43.000,78.95
44.000,79.12
45.000,79.37
46.000,79.63
47.000,80.13
48.000,80.68
49.000,81.23
50.000,81.8
51.000,82.35
52.000,82.9
53.000,83.48
54.000,84.07
55.000,84.58
56.000,85.08
57.000,85.5
58.000,85.98
59.000,86.55
