timestamp,hr
00.000,95.62
01.000,95.52
02.000,95.42
03.000,95.38
04.000,95.3
05.000,95.1
06.000,94.92
07.000,94.78
08.000,94.7
09.000,94.65
10.000,94.65
11.000,94.67
12.000,94.73
13.000,94.4
14.000,94.08
15.000,93.83
16.000,93.65
17.000,93.5
18.000,93.23
19.000,93.0
20.000,92.82
21.000,92.67
22.000,92.62
23.000,92.58
24.000,92.53
25.000,92.45
26.000,92.35
27.000,92.22
28.000,92.08
29.000,91.93
30.000,91.73
31.000,91.5
32.000,91.28
33.000,91.03
34.000,90.82
35.000,90.62
36.000,90.38
37.000,90.12
38.000,89.92
39.000,89.7
40.000,89.48
41.000,89.23
42.000,88.97
43.000,88.72
44.000,88.47
45.000,88.18
46.000,87.85
47.000,87.53
48.000,87.22
49.000,86.85
50.000,86.48
51.000,86.15
52.000,85.85
53.000,85.58
54.000,85.35
55.000,85.13
56.000,84.93
57.000,84.72
58.000,84.48
59.000,84.2
