ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity
1599328800.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599328860.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599328920.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599328980.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329040.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329100.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329160.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329220.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329280.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329340.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329400.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329460.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329520.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329580.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329640.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329700.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329760.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329820.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329880.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599329940.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330000.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330060.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330120.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330180.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330240.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330300.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330360.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330420.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330480.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330540.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330600.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330660.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330720.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330780.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330840.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330900.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599330960.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331020.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331080.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331140.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331200.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331260.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331320.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331380.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331440.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331500.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331560.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331620.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331680.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331740.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331800.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331860.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331920.0,recreation_media,724,,,ALONE,,,home,4,1,3
1599331980.0,recreation_media,724,,,ALONE,,,home,4,1,3
