ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity
1600020000.0,sleep,111,,,ALONE,,,home,5,1,3
1600020060.0,sleep,111,,,ALONE,,,home,5,1,3
1600020120.0,sleep,111,,,ALONE,,,home,5,1,3
1600020180.0,sleep,111,,,ALONE,,,home,5,1,3
1600020240.0,sleep,111,,,ALONE,,,home,5,1,3
1600020300.0,sleep,111,,,ALONE,,,home,5,1,3
1600020360.0,sleep,111,,,ALONE,,,home,5,1,3
1600020420.0,sleep,111,,,ALONE,,,home,5,1,3
1600020480.0,sleep,111,,,ALONE,,,home,5,1,3
1600020540.0,sleep,111,,,ALONE,,,home,5,1,3
1600020600.0,sleep,111,,,ALONE,,,home,5,1,3
1600020660.0,sleep,111,,,ALONE,,,home,5,1,3
1600020720.0,sleep,111,,,ALONE,,,home,5,1,3
1600020780.0,sleep,111,,,ALONE,,,home,5,1,3
1600020840.0,sleep,111,,,ALONE,,,home,5,1,3
1600020900.0,sleep,111,,,ALONE,,,home,5,1,3
1600020960.0,sleep,111,,,ALONE,,,home,5,1,3
1600021020.0,sleep,111,,,ALONE,,,home,5,1,3
1600021080.0,sleep,111,,,ALONE,,,home,5,1,3
1600021140.0,sleep,111,,,ALONE,,,home,5,1,3
1600021200.0,sleep,111,,,ALONE,,,home,5,1,3
1600021260.0,sleep,111,,,ALONE,,,home,5,1,3
1600021320.0,sleep,111,,,ALONE,,,home,5,1,3
1600021380.0,sleep,111,,,ALONE,,,home,5,1,3
1600021440.0,sleep,111,,,ALONE,,,home,5,1,3
1600021500.0,sleep,111,,,ALONE,,,home,5,1,3
1600021560.0,sleep,111,,,ALONE,,,home,5,1,3
1600021620.0,sleep,111,,,ALONE,,,home,5,1,3
1600021680.0,sleep,111,,,ALONE,,,home,5,1,3
1600021740.0,sleep,111,,,ALONE,,,home,5,1,3
1600021800.0,sleep,111,,,ALONE,,,home,5,1,3
1600021860.0,sleep,111,,,ALONE,,,home,5,1,3
1600021920.0,sleep,111,,,ALONE,,,home,5,1,3
1600021980.0,sleep,111,,,ALONE,,,home,5,1,3
1600022040.0,sleep,111,,,ALONE,,,home,5,1,3
1600022100.0,sleep,111,,,ALONE,,,home,5,1,3
1600022160.0,sleep,111,,,ALONE,,,home,5,1,3
1600022220.0,sleep,111,,,ALONE,,,home,5,1,3
1600022280.0,sleep,111,,,ALONE,,,home,5,1,3
1600022340.0,sleep,111,,,ALONE,,,home,5,1,3
1600022400.0,sleep,111,,,ALONE,,,home,5,1,3
1600022460.0,sleep,111,,,ALONE,,,home,5,1,3
1600022520.0,sleep,111,,,ALONE,,,home,5,1,3
1600022580.0,sleep,111,,,ALONE,,,home,5,1,3
1600022640.0,sleep,111,,,ALONE,,,home,5,1,3
1600022700.0,sleep,111,,,ALONE,,,home,5,1,3
1600022760.0,sleep,111,,,ALONE,,,home,5,1,3
1600022820.0,sleep,111,,,ALONE,,,home,5,1,3
1600022880.0,sleep,111,,,ALONE,,,home,5,1,3
1600022940.0,sleep,111,,,ALONE,,,home,5,1,3
1600023000.0,sleep,111,,,ALONE,,,home,5,1,3
1600023060.0,sleep,111,,,ALONE,,,home,5,1,3
1600023120.0,sleep,111,,,ALONE,,,home,5,1,3
1600023180.0,sleep,111,,,ALONE,,,home,5,1,3
1600023240.0,sleep,111,,,ALONE,,,home,5,1,3
1600023300.0,sleep,111,,,ALONE,,,home,5,1,3
1600023360.0,sleep,111,,,ALONE,,,home,5,1,3
1600023420.0,sleep,111,,,ALONE,,,home,5,1,3
1600023480.0,sleep,111,,,ALONE,,,home,5,1,3
1600023540.0,sleep,111,,,ALONE,,,home,5,1,3
1600023600.0,sleep,111,,,ALONE,,,home,5,1,3
1600023660.0,sleep,111,,,ALONE,,,home,5,1,3
1600023720.0,sleep,111,,,ALONE,,,home,5,1,3
1600023780.0,sleep,111,,,ALONE,,,home,5,1,3
1600023840.0,sleep,111,,,ALONE,,,home,5,1,3
1600023900.0,sleep,111,,,ALONE,,,home,5,1,3
1600023960.0,sleep,111,,,ALONE,,,home,5,1,3
1600024020.0,sleep,111,,,ALONE,,,home,5,1,3
1600024080.0,sleep,111,,,ALONE,,,home,5,1,3
1600024140.0,sleep,111,,,ALONE,,,home,5,1,3
1600024200.0,sleep,111,,,ALONE,,,home,5,1,3
1600024260.0,sleep,111,,,ALONE,,,home,5,1,3
1600024320.0,sleep,111,,,ALONE,,,home,5,1,3
1600024380.0,sleep,111,,,ALONE,,,home,5,1,3
1600024440.0,sleep,111,,,ALONE,,,home,5,1,3
1600024500.0,sleep,111,,,ALONE,,,home,5,1,3
1600024560.0,sleep,111,,,ALONE,,,home,5,1,3
1600024620.0,sleep,111,,,ALONE,,,home,5,1,3
1600024680.0,sleep,111,,,ALONE,,,home,5,1,3
1600024740.0,sleep,111,,,ALONE,,,home,5,1,3
1600024800.0,sleep,111,,,ALONE,,,home,5,1,3
1600024860.0,sleep,111,,,ALONE,,,home,5,1,3
1600024920.0,sleep,111,,,ALONE,,,home,5,1,3
1600024980.0,sleep,111,,,ALONE,,,home,5,1,3
1600025040.0,sleep,111,,,ALONE,,,home,5,1,3
1600025100.0,sleep,111,,,ALONE,,,home,5,1,3
1600025160.0,sleep,111,,,ALONE,,,home,5,1,3
1600025220.0,sleep,111,,,ALONE,,,home,5,1,3
1600025280.0,sleep,111,,,ALONE,,,home,5,1,3
1600025340.0,sleep,111,,,ALONE,,,home,5,1,3
1600025400.0,sleep,111,,,ALONE,,,home,5,1,3
1600025460.0,sleep,111,,,ALONE,,,home,5,1,3
1600025520.0,sleep,111,,,ALONE,,,home,5,1,3
1600025580.0,sleep,111,,,ALONE,,,home,5,1,3
1600025640.0,sleep,111,,,ALONE,,,home,5,1,3
1600025700.0,sleep,111,,,ALONE,,,home,5,1,3
1600025760.0,sleep,111,,,ALONE,,,home,5,1,3
1600025820.0,sleep,111,,,ALONE,,,home,5,1,3
1600025880.0,sleep,111,,,ALONE,,,home,5,1,3
1600025940.0,sleep,111,,,ALONE,,,home,5,1,3
1600026000.0,sleep,111,,,ALONE,,,home,5,1,3
1600026060.0,sleep,111,,,ALONE,,,home,5,1,3
1600026120.0,sleep,111,,,ALONE,,,home,5,1,3
1600026180.0,sleep,111,,,ALONE,,,home,5,1,3
1600026240.0,sleep,111,,,ALONE,,,home,5,1,3
1600026300.0,sleep,111,,,ALONE,,,home,5,1,3
1600026360.0,sleep,111,,,ALONE,,,home,5,1,3
1600026420.0,sleep,111,,,ALONE,,,home,5,1,3
1600026480.0,sleep,111,,,ALONE,,,home,5,1,3
1600026540.0,sleep,111,,,ALONE,,,home,5,1,3
1600026600.0,sleep,111,,,ALONE,,,home,5,1,3
1600026660.0,sleep,111,,,ALONE,,,home,5,1,3
1600026720.0,sleep,111,,,ALONE,,,home,5,1,3
1600026780.0,sleep,111,,,ALONE,,,home,5,1,3
1600026840.0,sleep,111,,,ALONE,,,home,5,1,3
1600026900.0,sleep,111,,,ALONE,,,home,5,1,3
1600026960.0,sleep,111,,,ALONE,,,home,5,1,3
1600027020.0,sleep,111,,,ALONE,,,home,5,1,3
1600027080.0,sleep,111,,,ALONE,,,home,5,1,3
1600027140.0,sleep,111,,,ALONE,,,home,5,1,3
1600027200.0,sleep,111,,,ALONE,,,home,5,1,3
1600027260.0,sleep,111,,,ALONE,,,home,5,1,3
1600027320.0,sleep,111,,,ALONE,,,home,5,1,3
1600027380.0,sleep,111,,,ALONE,,,home,5,1,3
1600027440.0,sleep,111,,,ALONE,,,home,5,1,3
1600027500.0,sleep,111,,,ALONE,,,home,5,1,3
1600027560.0,sleep,111,,,ALONE,,,home,5,1,3
1600027620.0,sleep,111,,,ALONE,,,home,5,1,3
1600027680.0,sleep,111,,,ALONE,,,home,5,1,3
1600027740.0,sleep,111,,,ALONE,,,home,5,1,3
1600027800.0,sleep,111,,,ALONE,,,home,5,1,3
1600027860.0,sleep,111,,,ALONE,,,home,5,1,3
1600027920.0,sleep,111,,,ALONE,,,home,5,1,3
1600027980.0,sleep,111,,,ALONE,,,home,5,1,3
1600028040.0,sleep,111,,,ALONE,,,home,5,1,3
1600028100.0,sleep,111,,,ALONE,,,home,5,1,3
1600028160.0,sleep,111,,,ALONE,,,home,5,1,3
1600028220.0,sleep,111,,,ALONE,,,home,5,1,3
1600028280.0,sleep,111,,,ALONE,,,home,5,1,3
1600028340.0,sleep,111,,,ALONE,,,home,5,1,3
1600028400.0,sleep,111,,,ALONE,,,home,5,1,3
1600028460.0,sleep,111,,,ALONE,,,home,5,1,3
1600028520.0,sleep,111,,,ALONE,,,home,5,1,3
1600028580.0,sleep,111,,,ALONE,,,home,5,1,3
1600028640.0,sleep,111,,,ALONE,,,home,5,1,3
1600028700.0,sleep,111,,,ALONE,,,home,5,1,3
1600028760.0,sleep,111,,,ALONE,,,home,5,1,3
1600028820.0,sleep,111,,,ALONE,,,home,5,1,3
1600028880.0,sleep,111,,,ALONE,,,home,5,1,3
1600028940.0,sleep,111,,,ALONE,,,home,5,1,3
1600029000.0,sleep,111,,,ALONE,,,home,5,1,3
1600029060.0,sleep,111,,,ALONE,,,home,5,1,3
1600029120.0,sleep,111,,,ALONE,,,home,5,1,3
1600029180.0,sleep,111,,,ALONE,,,home,5,1,3
1600029240.0,sleep,111,,,ALONE,,,home,5,1,3
1600029300.0,sleep,111,,,ALONE,,,home,5,1,3
1600029360.0,sleep,111,,,ALONE,,,home,5,1,3
1600029420.0,sleep,111,,,ALONE,,,home,5,1,3
1600029480.0,sleep,111,,,ALONE,,,home,5,1,3
1600029540.0,sleep,111,,,ALONE,,,home,5,1,3
